Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS▼,WS/48,,OBPM,DBPM,BPM,VORP
69,Danny Green\greenda02,SF,33,PHI,69,1934,12.1,0.582,0.794,0.074,3.2,11.5,7.4,8.3,2.3,2.6,10.7,14.0,,1.6,3.1,4.6,0.115,,0.4,1.5,1.9,1.9
70,Draymond Green\greendr01,PF,30,GSW,63,1982,13.3,0.530,0.332,0.232,3.0,20.9,12.1,36.4,2.5,2.3,31.0,13.1,,1.2,3.4,4.6,0.112,,-1.6,3.3,1.7,1.9
71,Jamal Murray\murraja01,PG,23,DEN,48,1704,18.3,0.592,0.399,0.193,2.5,10.4,6.5,20.3,1.9,0.7,11.2,24.8,,3.1,1.5,4.6,0.129,,2.7,-0.7,2.0,1.7
72,Harrison Barnes\barneha02,PF,28,SAC,58,2102,15.4,0.626,0.399,0.366,3.3,17.2,10.2,13.0,1.0,0.4,11.1,17.2,,4.0,0.5,4.5,0.103,,1.5,-1.3,0.2,1.1
73,Bruce Brown\brownbr01,PG,24,BRK,65,1451,16.1,0.604,0.139,0.277,8.9,17.2,13.3,9.8,1.9,1.7,10.2,15.9,,2.8,1.5,4.4,0.144,,-0.4,0.2,-0.1,0.7
74,Dorian Finney-Smith\finnedo01,PF,27,DAL,60,1921,12.0,0.609,0.648,0.088,5.7,13.0,9.3,7.2,1.3,1.2,9.0,12.2,,2.8,1.6,4.4,0.110,,0.2,0.0,0.1,1.0
75,Tim Hardaway Jr.\hardati02,SG,28,DAL,70,1985,15.7,0.589,0.581,0.191,1.1,11.5,6.4,9.8,0.8,0.5,6.1,23.4,,3.2,1.2,4.3,0.105,,2.0,-1.7,0.4,1.2
76,Kristaps Porziņģis\porzikr01,C,25,DAL,43,1327,21.3,0.582,0.378,0.202,6.9,24.6,15.8,8.4,0.7,4.1,6.4,26.5,,2.6,1.7,4.3,0.154,,3.0,-0.8,2.2,1.4
77,Daniel Theis\theisda01,C,28,TOT,65,1601,15.0,0.609,0.326,0.236,6.5,18.3,12.4,9.5,1.2,3.3,11.4,15.6,,2.4,1.8,4.3,0.128,,-0.7,0.7,0.0,0.8
78,Fred VanVleet\vanvlfr01,SG,26,TOR,52,1899,16.8,0.534,0.547,0.220,1.8,11.3,6.4,26.7,2.2,2.0,9.1,23.9,,2.4,1.8,4.3,0.108,,2.2,0.2,2.5,2.2
79,Delon Wright\wrighde01,SG-PG,28,TOT,63,1748,16.3,0.562,0.332,0.243,4.1,13.1,8.6,23.0,2.8,1.5,12.6,16.3,,2.5,1.8,4.3,0.117,,0.6,1.5,2.2,1.8
80,Miles Bridges\bridgmi02,PF,22,CHO,66,1932,14.7,0.625,0.466,0.182,4.5,18.0,11.1,11.4,1.1,2.7,13.6,17.3,,2.4,1.9,4.2,0.105,,0.2,0.1,0.2,1.1
81,Malcolm Brogdon\brogdma01,PG,28,IND,56,1930,17.9,0.561,0.382,0.181,3.3,13.2,8.3,25.7,1.2,0.6,9.8,25.9,,2.9,1.3,4.2,0.105,,3.0,-0.9,2.1,2.0
82,Kentavious Caldwell-Pope\caldwke01,SG,27,LAL,67,1902,10.7,0.588,0.579,0.221,1.6,8.9,5.3,9.2,1.6,1.2,10.6,14.2,,1.6,2.6,4.2,0.107,,-1.6,1.0,-0.5,0.7
83,Brandon Clarke\clarkbr01,PF,24,MEM,59,1415,17.3,0.560,0.156,0.228,7.2,17.5,12.3,9.5,2.0,3.2,5.7,17.2,,2.2,2.0,4.2,0.142,,0.4,1.2,1.5,1.3
84,Jordan Clarkson\clarkjo01,SG,28,UTA,68,1818,17.1,0.549,0.557,0.134,2.9,12.7,8.0,15.3,1.6,0.4,9.2,29.7,,1.7,2.5,4.2,0.111,,1.8,-0.4,1.4,1.6
85,De'Aaron Fox\foxde01,PG,23,SAC,58,2036,20.7,0.565,0.288,0.376,1.8,9.4,5.5,32.7,2.1,1.1,11.9,31.0,,3.4,0.8,4.2,0.098,,3.1,-1.3,1.8,2.0
86,Pascal Siakam\siakapa01,PF,26,TOR,56,2006,17.7,0.547,0.256,0.313,5.0,17.6,11.1,20.5,1.5,1.8,10.6,26.3,,2.3,2.0,4.2,0.101,,1.0,-0.3,0.8,1.4
87,RJ Barrett\barrerj01,SG,20,NYK,72,2511,13.4,0.535,0.292,0.260,3.0,14.8,8.9,13.8,1.1,0.8,10.5,23.4,,0.9,3.1,4.1,0.078,,-0.9,-0.3,-1.2,0.5
88,Jeff Green\greenje02,C,34,BRK,68,1835,13.0,0.624,0.472,0.304,2.2,13.1,7.9,7.8,0.9,1.3,8.2,15.6,,2.9,1.2,4.1,0.107,,0.0,-0.9,-0.8,0.6
89,Kyle Lowry\lowryky01,PG,34,TOR,46,1601,16.5,0.593,0.555,0.268,2.3,15.1,8.5,31.8,1.4,0.9,15.9,21.4,,2.9,1.3,4.1,0.124,,2.0,-0.4,1.6,1.5
90,Steven Adams\adamsst01,C,27,NOP,58,1605,15.1,0.596,0.010,0.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,,2.3,1.7,4.0,0.119,,-0.4,0.1,-0.3,0.7
91,Seth Curry\curryse01,SG,30,PHI,57,1638,12.9,0.607,0.507,0.139,0.7,8.3,4.6,13.6,1.3,0.4,10.0,17.1,,2.3,1.7,4.0,0.118,,0.1,-0.4,-0.3,0.7
92,Dwight Howard\howardw01,C,35,PHI,69,1196,17.8,0.610,0.066,0.693,17.8,35.3,26.7,7.2,1.2,4.7,22.1,18.2,,1.3,2.6,4.0,0.159,,-2.1,0.6,-1.5,0.1
93,Isaiah Stewart\stewais01,C,19,DET,68,1455,16.4,0.597,0.154,0.225,12.0,22.7,17.3,6.3,1.3,5.2,13.0,15.5,,1.9,2.1,4.0,0.132,,-1.6,0.5,-1.1,0.3
94,Bogdan Bogdanović\bogdabo01,SG,28,ATL,44,1305,17.6,0.616,0.589,0.078,1.7,11.5,6.7,17.6,1.8,0.9,8.5,21.3,,2.8,1.1,3.9,0.142,,3.3,0.3,3.6,1.8
